date,rolling_alpha,rolling_beta
2017-05-12,-0.0007237910757846701,0.9362750816822634
2017-05-15,-0.0008841844303828723,0.9453304212995954
2017-05-16,-0.0008965457381455492,0.9451747951833244
2017-05-17,-0.0009520936505048813,0.9466554833317696
2017-05-18,-0.0008616826960111158,0.9265684181728858
2017-05-19,-0.0009421927246885299,0.9328524017158304
2017-05-22,-0.000974995219837503,0.9323040515194044
2017-05-23,-0.0010157005656063743,0.927886870578027
2017-05-24,-0.0008786938117933784,0.8747033826197075
2017-05-25,-0.0010480113936214507,0.8816591193970313
2017-05-26,-0.0009636722532203786,0.8678165799743975
2017-05-29,-0.0010504824802566916,0.8721081960836058
2017-05-30,-0.001060503844707174,0.8710162078443086
2017-05-31,-0.001082499916360047,0.8718159172699793
2017-06-01,-0.0011621272053668284,0.8718777891562045
2017-06-02,-0.0011231637434290804,0.877014973157399
2017-06-06,-0.001226945345627184,0.8737062507415577
2017-06-07,-0.0011657712164217084,0.8506216688378233
2017-06-08,-0.001065869154564914,0.8613914617503069
2017-06-09,-0.0009880362255997046,0.8526604141629276
2017-06-12,-0.001096590756820156,0.8716341711020966
2017-06-13,-0.0008676627013436369,0.823811524009011
2017-06-14,-0.0008818777256623907,0.8195588389364771
2017-06-15,-0.0006296138560659882,0.7922606111456432
2017-06-16,-0.0005376944294985213,0.7925803734779286
2017-06-19,-0.0006342814370704441,0.8019574328177201
2017-06-20,-0.000543121136617022,0.806870768964853
2017-06-21,-0.0004964563123596647,0.8011163487365532
2017-06-22,-0.0005092029254749349,0.793792365034563
2017-06-23,-0.00047069368224982917,0.7947813709697948
2017-06-26,-0.0004887217579380872,0.7817901232590438
2017-06-27,-0.0005473933913897679,0.7822302514890345
2017-06-28,-0.0005004895064514926,0.7776722175072096
2017-06-29,-0.0004973960519808787,0.7771645128833897
2017-06-30,-0.0003944512976967373,0.7510845486864632
2017-07-03,-0.00048448012759269246,0.7691825715006805
2017-07-04,-0.0005118233107006224,0.7620514059164277
2017-07-05,-0.0005655158161576527,0.755234484534046
2017-07-06,-0.0006577426820636212,0.7564083454679954
2017-07-07,-0.0006976751558713241,0.7648169674923767
2017-07-10,-0.0006652377204635849,0.7650640559120734
2017-07-11,-0.0006983204944649054,0.7605701700621481
2017-07-12,-0.0005744605989679168,0.7411942488454136
2017-07-13,-0.0005057525518178502,0.7767912491897585
2017-07-14,-0.000607253433106249,0.7791359357135508
2017-07-17,-0.0006294104938313018,0.7784775867617659
2017-07-18,-0.0007146007431493819,0.7778404487195081
2017-07-19,-0.0006741342489305295,0.7697835634537168
2017-07-20,-0.0006814113013202026,0.769479780784116
2017-07-21,-0.0007360221885647955,0.7709004097387512
2017-07-24,-0.0009396170015369156,0.7937760741796339
2017-07-25,-0.0012103865569271374,0.8086452485529603
2017-07-26,-0.0012439705776665349,0.807504603802328
2017-07-27,-0.0013501436265067274,0.8002296276239873
2017-07-28,-0.0013100769323424802,0.7965304317298175
2017-07-31,-0.0013573401007740615,0.8002670452768128
2017-08-01,-0.0014315030885713143,0.8072120161726999
2017-08-02,-0.0013658193451356166,0.8074747108062407
2017-08-03,-0.0013283051147110149,0.7958877411220843
2017-08-04,-0.0012931538920937281,0.7948174157860816
2017-08-07,-0.0012984219246960206,0.8125998099509834
2017-08-08,-0.0013536265403740074,0.7904889139035166
2017-08-09,-0.001435449851284668,0.7829579820275535
2017-08-10,-0.0015307465258071328,0.7664920347525603
2017-08-11,-0.0014042805740198052,0.751202393021882
2017-08-14,-0.0013351264069876986,0.745479006561546
2017-08-15,-0.0012410559885719988,0.7446054263517444
2017-08-16,-0.0011625510485349995,0.7395934746772613
2017-08-17,-0.001172221632492929,0.7398791803371113
2017-08-18,-0.0011341084292051076,0.736589866501404
2017-08-21,-0.0011334953532792325,0.7361821353183574
2017-08-22,-0.0010966920173234452,0.7302250685132949
2017-08-23,-0.0010937509553776241,0.7380506370273576
2017-08-24,-0.0010316202810038027,0.7332896642930563
2017-08-25,-0.0008015948057261377,0.7240898566755916
2017-08-28,-0.0007443179578141835,0.7204897392048605
2017-08-29,-0.0008250381958708875,0.7201864593870645
2017-08-30,-0.0007424690252270137,0.7059445766555009
2017-08-31,-0.0007791905314713446,0.6928361066018393
2017-09-01,-0.001026073019157333,0.6787724508107144
2017-09-04,-0.000993589844115112,0.6880539404376547
2017-09-05,-0.0008912819903335499,0.6825388144850345
2017-09-06,-0.0008211169479508194,0.687134713043018
2017-09-07,-0.0003999876096562294,0.7502837574892081
2017-09-08,-0.0003289809021951759,0.7569035583692768
2017-09-11,-0.0002975149543494319,0.7659946503285846
2017-09-12,-0.0004928126153905247,0.7184918466800184
2017-09-13,-0.0004700781132644747,0.7271208457331441
2017-09-14,-0.00035711300014432395,0.7352086954452463
2017-09-15,-0.00035850235462439936,0.7337793407816036
2017-09-18,-0.00028599660816226805,0.73203729625997
2017-09-19,-0.0002858909636158968,0.7314976752702332
2017-09-20,-0.00027524976413502287,0.7319967624627475
2017-09-21,-0.0002102825182595063,0.7321755896282844
2017-09-22,-0.00020633361458919622,0.7419194095148599
2017-09-25,-0.00018679205395067235,0.7382663988427716
2017-09-26,-0.00016794695654574217,0.7385013260906972
2017-09-27,-0.0001559749188451004,0.7381920509866907
2017-09-28,-5.855695585421151e-05,0.7445863354611826
2017-09-29,5.2278921704595205e-05,0.7346724966691968
2017-10-02,0.0001454883370628883,0.7446221185174695
2017-10-04,0.00018069769204088888,0.7394942804739615
2017-10-05,0.0002758735987514563,0.7492376408324464
2017-10-06,0.00029874951896248687,0.74786270645654
