Price,Close,High,Low,Open,Volume
Ticker,MBG.DE,MBG.DE,MBG.DE,MBG.DE,MBG.DE
Date,,,,,
2017-01-02,33.678707122802734,33.80645687096952,33.03522554349842,33.205557817710336,2399347
2017-01-03,34.1140022277832,34.36950389285639,33.77333551105033,33.78279901791186,4980484
2017-01-04,34.09980773925781,34.312724706513876,33.60300292901457,34.27960568784981,3501079
2017-01-05,34.09035110473633,34.36950831785718,33.920016639424006,33.934210816528086,3824521
2017-01-06,34.08561325073242,34.142392120826656,33.86796561710576,33.99571536227861,2558777
2017-01-09,34.057228088378906,34.298533426294505,33.79699573531659,34.16605300039367,3275069
2017-01-10,34.175514221191406,34.27960846407967,33.91528403904959,34.06669147957994,3455695
2017-01-11,34.45940017700195,34.64865945525545,34.095075795110056,34.13765831895537,4257393
2017-01-12,33.49418258666992,34.52091570568063,32.38228440518602,34.36004474873405,8285049
2017-01-13,33.74967575073242,33.96732554498878,33.39954771872898,33.66451070431689,4630368
2017-01-16,33.23868179321289,33.35696804438601,33.01157062853778,33.07781084239346,3703981
2017-01-17,33.28599548339844,33.46579127052628,32.61885619954884,33.02576313990074,4017529
2017-01-18,33.437400817871094,33.45159499280179,33.17243565239375,33.29072406020173,2483163
2017-01-19,33.44213104248047,33.65031516541032,33.27179660550941,33.48944640497591,3277998
2017-01-20,33.42321014404297,33.57934825466747,33.1487836132197,33.35696776071904,4940487
2017-01-23,33.200828552246094,33.399551355583625,32.99264224159927,33.13931900978297,3198249
2017-01-24,33.678707122802734,33.80645687096952,33.267067357574234,33.31911339052874,3637717
2017-01-25,34.2322883605957,34.473593664304005,33.97205604442376,33.97205604442376,5088128
2017-01-26,33.85850524902344,34.5161810492279,33.74021899957332,34.483062027798276,4097379
2017-01-27,33.461055755615234,33.89635318282778,33.30491766402373,33.834843645828656,4131140
2017-01-30,33.33330535888672,33.46578793675225,33.12038840269546,33.3806207202695,3726508
2017-01-31,32.812843322753906,33.58407460924477,32.812843322753906,33.3995481694895,5001716
2017-02-01,33.12985610961914,33.565153583477226,32.97844867002181,33.23868102059154,4828162
2017-02-02,32.221412658691406,32.48164501884502,31.752996146440175,32.45798733428273,11046507
2017-02-03,32.00849914550781,32.37282362129548,31.91386839697665,32.301850559897105,5193876
2017-02-06,31.800310134887695,32.221411259731354,31.66782754109719,32.051076806290915,4899104
2017-02-07,31.58738899230957,31.85708483158772,31.383935530767577,31.497491102560645,4529395
2017-02-08,31.54007911682129,31.776653792123163,31.28931026480573,31.36974465619383,4465350
2017-02-09,31.838165283203125,31.961182212248573,31.398134928035102,31.696219167330188,4788317
2017-02-10,31.757726669311523,32.12678394274837,31.64890392486329,32.10312625829486,3971245
2017-02-13,32.122047424316406,32.34442789668084,31.795574888305353,31.842890251792483,3763276
2017-02-14,32.22614288330078,32.31131011254455,31.961179857900298,32.18356035369469,3445716
2017-02-15,32.202484130859375,32.53842019782475,31.918596269505926,32.41540328192172,4017262
2017-02-16,32.074729919433594,32.31603738909509,31.928055340459764,32.24506434860274,3230850
2017-02-17,31.989572525024414,32.04161856581953,31.691488287708673,32.04161856581953,4311235
2017-02-20,32.074729919433594,32.25452785467463,32.04634157124914,32.1740913081104,2240812
2017-02-21,32.5147590637207,32.70401834121489,32.03214844861834,32.155167521497376,4850973
2017-02-22,32.83176803588867,32.92166809134878,32.53368603052596,32.74660298866005,4464759
2017-02-23,32.779727935791016,33.2812656536786,32.73714540447348,32.89801636172582,3902595
2017-02-24,32.53368377685547,32.869617614392766,32.155165248622524,32.76079489379524,4874549
2017-02-27,32.52422332763672,32.765528640808235,32.481640802970446,32.64724240338104,2624666
2017-02-28,32.47691345214844,32.604665387795635,32.24034093732134,32.53842300041363,3561785
2017-03-01,33.039955139160156,33.215020246158254,32.604659875838934,32.741870956428585,5419467
2017-03-02,33.06361389160156,33.12039059299062,32.90274295428026,32.97371600104797,2545585
2017-03-03,33.106197357177734,33.13931854728224,32.84123434643607,33.10146668860485,3424541
2017-03-06,32.90274429321289,33.073078744374364,32.78445804715127,33.03049404656826,2855622
2017-03-07,33.16770553588867,33.35696482149872,32.8601600105341,33.011567439022144,4332051
2017-03-08,33.120391845703125,33.4326702252484,33.01629977586519,33.120391845703125,3269007
2017-03-09,33.106197357177734,33.32384717209626,32.770263467685645,33.12512437153215,5134634
2017-03-10,33.120391845703125,33.46579141566569,32.978447916830355,33.205559071039374,4545264
2017-03-13,33.50837707519531,33.593544308491765,33.03522987805265,33.16771031204119,5215952
2017-03-14,33.479984283447266,33.64085522056777,33.30491917099721,33.58880918768231,4320569
2017-03-15,33.584075927734375,33.81118707021963,33.319112928168245,33.442132006188935,4482287
2017-03-16,33.73075485229492,34.03356972837453,33.58407808293205,33.99571786886458,4571959
2017-03-17,33.669246673583984,33.683440850221416,33.2623397098724,33.49891221387166,7343832
2017-03-20,33.579349517822266,33.69763577243905,33.47998810913024,33.59354369477374,2631850
